split,file_name,text,accent
test,ABA/wav/arctic_a0001.wav,Author of the danger trail Philip Steels etc,arabic
test,ABA/wav/arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,arabic
test,ABA/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands,arabic
test,ABA/wav/arctic_a0004.wav,Lord but I'm glad to see you again Phil,arabic
test,ABA/wav/arctic_a0005.wav,Will we ever forget it,arabic
test,ABA/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,arabic
test,ABA/wav/arctic_a0007.wav,And you always want to see it in the superlative degree,arabic
test,ABA/wav/arctic_a0008.wav,Gad your letter came just in time,arabic
test,ABA/wav/arctic_a0009.wav,He turned sharply and faced Gregson across the table,arabic
test,ABA/wav/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,arabic
test,ABA/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now,arabic
test,ABA/wav/arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,arabic
test,ABA/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,arabic
test,ABA/wav/arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,arabic
test,ABA/wav/arctic_a0015.wav,It's the aurora borealis,arabic
test,ABA/wav/arctic_a0016.wav,There's Fort Churchill a rifle shot beyond the ridge asleep,arabic
test,ABA/wav/arctic_a0017.wav,From that moment his friendship for Belize turns to hatred and jealousy,arabic
test,ABA/wav/arctic_a0018.wav,There was a change now,arabic
test,ABA/wav/arctic_a0019.wav,I followed the line of the proposed railroad looking for chances,arabic
test,ABA/wav/arctic_a0020.wav,Clubs and balls and cities grew to be only memories,arabic
test,ABA/wav/arctic_a0021.wav,It fairly clubbed me into recognizing it,arabic
test,ABA/wav/arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition,arabic
test,ABA/wav/arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges,arabic
test,ABA/wav/arctic_a0024.wav,It was my reports from the north which chiefly induced people to buy,arabic
test,ABA/wav/arctic_a0025.wav,I was about to do this when cooler judgment prevailed,arabic
test,ABA/wav/arctic_a0026.wav,It occurred to me that there would have to be an accounting,arabic
test,ABA/wav/arctic_a0027.wav,To my surprise he began to show actual enthusiasm in my favor,arabic
test,ABA/wav/arctic_a0028.wav,Robbery bribery fraud,arabic
test,ABA/wav/arctic_a0029.wav,Their forces were already moving into the north country,arabic
test,ABA/wav/arctic_a0030.wav,I had faith in them,arabic
test,ABA/wav/arctic_a0031.wav,They were three hundred yards apart,arabic
test,ABA/wav/arctic_a0032.wav,Since then some mysterious force has been fighting us at every step,arabic
test,ABA/wav/arctic_a0033.wav,He unfolded a long typewritten letter and handed it to Gregson,arabic
test,ABA/wav/arctic_a0034.wav,Men of Selden's stamp don't stop at women and children,arabic
test,ABA/wav/arctic_a0035.wav,He stopped and Philip nodded at the horrified question in his eyes,arabic
test,ABA/wav/arctic_a0036.wav,She turned in at the hotel,arabic
test,ABA/wav/arctic_a0037.wav,I was the only one who remained sitting,arabic
test,ABA/wav/arctic_a0038.wav,We will have to watch our chances,arabic
test,ABA/wav/arctic_a0039.wav,The ship should be in within a week or ten days,arabic
test,ABA/wav/arctic_a0040.wav,I suppose you wonder why she is coming up here,arabic
test,ABA/wav/arctic_a0041.wav,Meanwhile I'll go out to breathe a spell,arabic
test,ABA/wav/arctic_a0042.wav,How could he explain his possession of the sketch,arabic
test,ABA/wav/arctic_a0043.wav,It seemed nearer to him since he had seen and talked with Gregson,arabic
test,ABA/wav/arctic_a0044.wav,Her own betrayal of herself was like a tonic to Philip,arabic
test,ABA/wav/arctic_a0045.wav,He moved away as quietly as he had come,arabic
test,ABA/wav/arctic_a0046.wav,The girl faced him her eyes shining with sudden fear,arabic
test,ABA/wav/arctic_a0047.wav,Close beside him gleamed the white fangs of the wolf dog,arabic
test,ABA/wav/arctic_a0048.wav,He looked at the handkerchief more closely,arabic
test,ABA/wav/arctic_a0049.wav,Gregson was asleep when he reentered the cabin,arabic
test,ABA/wav/arctic_a0050.wav,In spite of their absurdity the words affected Philip curiously,arabic
test,ABA/wav/arctic_a0051.wav,The lace was of a delicate ivory color faintly tinted with yellow,arabic
test,ABA/wav/arctic_a0052.wav,It was a curious coincidence,arabic
test,ABA/wav/arctic_a0053.wav,Suddenly his fingers closed tightly over the handkerchief,arabic
test,ABA/wav/arctic_a0054.wav,There was nothing on the rock,arabic
test,ABA/wav/arctic_a0055.wav,Philip stood undecided his ears strained to catch the slightest sound,arabic
test,ABA/wav/arctic_a0056.wav,Pearce's little eyes were fixed on him shrewdly,arabic
test,ABA/wav/arctic_a0057.wav,I have no idea replied Philip,arabic
test,ABA/wav/arctic_a0058.wav,I came for information more out of curiosity than anything else,arabic
test,ABA/wav/arctic_a0059.wav,His immaculate appearance was gone,arabic
test,ABA/wav/arctic_a0060.wav,Anyway no one saw her like that,arabic
test,ABA/wav/arctic_a0061.wav,Philip snatched at the letter which Gregson held out to him,arabic
test,ABA/wav/arctic_a0062.wav,The men stared into each other's face,arabic
test,ABA/wav/arctic_a0063.wav,Yes it was a man who asked a stranger,arabic
